"instance" "vertices" "strategy" "iterations" "guards" "preProcTime(s)" "procTime(s)" "totalTime(s)"
"randsimple-60-25" 60 "Single Vertex" 8 7 0.43 0.13 0.56
"randsimple-60-5" 60 "Single Vertex" 6 9 0.43 0.12 0.56
"randsimple-60-17" 60 "Single Vertex" 9 9 0.44 0.14 0.58
"randsimple-80-7" 80 "All Vertices" 4 12 0.75 0.14 0.9
"randsimple-80-3" 80 "All Vertices" 2 11 0.73 0.06 0.8
"randsimple-80-24" 80 "All Vertices" 2 11 0.73 0.06 0.79
"randsimple-80-22" 80 "All Vertices" 4 10 0.74 0.15 0.88
"randsimple-80-30" 80 "All Vertices" 3 13 0.74 0.13 0.88
"randsimple-80-9" 80 "All Vertices" 4 13 0.74 0.15 0.89
"randsimple-80-18" 80 "All Vertices" 2 10 0.74 0.07 0.81
"randsimple-80-28" 80 "All Vertices" 2 11 0.73 0.06 0.79
"randsimple-80-16" 80 "All Vertices" 3 12 0.73 0.09 0.82
"randsimple-80-29" 80 "All Vertices" 1 10 0.73 0.03 0.76
"randsimple-80-25" 80 "All Vertices" 3 11 0.75 0.09 0.84
"randsimple-80-4" 80 "All Vertices" 4 12 0.74 0.16 0.89
"randsimple-80-26" 80 "All Vertices" 4 11 0.76 0.16 0.92
"randsimple-80-14" 80 "All Vertices" 3 12 0.73 0.11 0.84
"randsimple-80-21" 80 "All Vertices" 2 12 0.74 0.06 0.8
"randsimple-80-10" 80 "All Vertices" 5 12 0.78 0.18 0.96
"randsimple-80-11" 80 "All Vertices" 4 13 0.74 0.17 0.9
"randsimple-80-8" 80 "All Vertices" 1 9 0.73 0.02 0.76
"randsimple-80-2" 80 "All Vertices" 3 12 0.74 0.13 0.86
"randsimple-80-13" 80 "All Vertices" 7 12 0.75 0.22 0.97
"randsimple-80-17" 80 "All Vertices" 4 12 0.75 0.18 0.93
"randsimple-80-5" 80 "All Vertices" 2 12 0.74 0.06 0.8
"randsimple-80-27" 80 "All Vertices" 4 13 0.75 0.2 0.96
"randsimple-80-20" 80 "All Vertices" 4 10 0.77 0.11 0.88
"randsimple-80-12" 80 "All Vertices" 3 13 0.76 0.11 0.86
"randsimple-80-19" 80 "All Vertices" 2 12 0.75 0.07 0.82
"randsimple-80-1" 80 "All Vertices" 5 14 0.72 0.2 0.92
"randsimple-80-15" 80 "All Vertices" 2 11 0.75 0.08 0.82
"randsimple-80-6" 80 "All Vertices" 3 11 0.75 0.1 0.85
"randsimple-80-23" 80 "All Vertices" 3 12 0.74 0.12 0.86
"randsimple-80-11" 80 "Convex Vertices" 4 13 0.73 0.16 0.9
"randsimple-80-25" 80 "Convex Vertices" 2 11 0.74 0.06 0.8
"randsimple-80-2" 80 "Convex Vertices" 2 12 0.74 0.08 0.82
"randsimple-80-20" 80 "Convex Vertices" 3 10 0.75 0.09 0.84
"randsimple-80-18" 80 "Convex Vertices" 2 10 0.73 0.07 0.8
"randsimple-80-17" 80 "Convex Vertices" 7 12 0.75 0.31 1.06
"randsimple-80-13" 80 "Convex Vertices" 4 12 0.75 0.12 0.87
"randsimple-80-9" 80 "Convex Vertices" 2 13 0.74 0.07 0.81
"randsimple-80-10" 80 "Convex Vertices" 8 12 0.75 0.29 1.04
"randsimple-80-28" 80 "Convex Vertices" 6 11 0.73 0.2 0.93
"randsimple-80-12" 80 "Convex Vertices" 3 13 0.75 0.11 0.86
"randsimple-80-26" 80 "Convex Vertices" 5 11 0.75 0.18 0.94
"randsimple-80-30" 80 "Convex Vertices" 3 13 0.74 0.12 0.86
"randsimple-80-4" 80 "Convex Vertices" 5 12 0.77 0.19 0.96
"randsimple-80-8" 80 "Convex Vertices" 6 9 0.74 0.16 0.9
"randsimple-80-24" 80 "Convex Vertices" 1 11 0.72 0.03 0.76
"randsimple-80-3" 80 "Convex Vertices" 2 11 0.72 0.06 0.78
"randsimple-80-15" 80 "Convex Vertices" 3 11 0.74 0.11 0.86
"randsimple-80-5" 80 "Convex Vertices" 2 12 0.73 0.06 0.8
"randsimple-80-16" 80 "Convex Vertices" 4 12 0.74 0.12 0.86
"randsimple-80-29" 80 "Convex Vertices" 2 10 0.73 0.06 0.79
"randsimple-80-14" 80 "Convex Vertices" 4 12 0.72 0.15 0.88
"randsimple-80-23" 80 "Convex Vertices" 4 12 0.74 0.15 0.88
"randsimple-80-22" 80 "Convex Vertices" 4 10 0.72 0.12 0.85
"randsimple-80-27" 80 "Convex Vertices" 6 13 0.76 0.3 1.06
"randsimple-80-7" 80 "Convex Vertices" 3 12 0.74 0.1 0.84
"randsimple-80-19" 80 "Convex Vertices" 2 12 0.75 0.06 0.81
"randsimple-80-6" 80 "Convex Vertices" 3 11 0.74 0.1 0.84
"randsimple-80-1" 80 "Convex Vertices" 3 14 0.72 0.12 0.84
"randsimple-80-21" 80 "Convex Vertices" 3 12 0.73 0.1 0.82
"randsimple-80-23" 80 "Shadow AVPs" 1 12 1.1 0.04 1.14
"randsimple-80-4" 80 "Shadow AVPs" 1 12 1.19 0.04 1.24
"randsimple-80-10" 80 "Shadow AVPs" 1 12 1.2 0.04 1.24
"randsimple-80-2" 80 "Shadow AVPs" 1 12 1.26 0.05 1.31
"randsimple-80-26" 80 "Shadow AVPs" 1 11 1.31 0.04 1.35
"randsimple-80-9" 80 "Shadow AVPs" 1 13 1.14 0.04 1.18
"randsimple-80-21" 80 "Shadow AVPs" 1 12 1.06 0.04 1.1
"randsimple-80-20" 80 "Shadow AVPs" 1 10 1.17 0.03 1.2
"randsimple-80-11" 80 "Shadow AVPs" 1 13 1.12 0.04 1.16
"randsimple-80-1" 80 "Shadow AVPs" 1 14 1.02 0.04 1.07
"randsimple-80-22" 80 "Shadow AVPs" 1 10 1.18 0.04 1.22
"randsimple-80-18" 80 "Shadow AVPs" 1 10 1.27 0.04 1.31
"randsimple-80-5" 80 "Shadow AVPs" 1 12 1.07 0.03 1.1
"randsimple-80-8" 80 "Shadow AVPs" 1 9 1.12 0.03 1.15
"randsimple-80-30" 80 "Shadow AVPs" 1 13 1.26 0.05 1.31
"randsimple-80-28" 80 "Shadow AVPs" 1 11 1.1 0.03 1.13
"randsimple-80-6" 80 "Shadow AVPs" 1 11 1.14 0.03 1.17
"randsimple-80-27" 80 "Shadow AVPs" 1 13 1.36 0.06 1.42
"randsimple-80-12" 80 "Shadow AVPs" 1 13 1.11 0.04 1.14
"randsimple-80-15" 80 "Shadow AVPs" 1 11 1.26 0.04 1.31
"randsimple-80-16" 80 "Shadow AVPs" 1 12 1.05 0.03 1.08
"randsimple-80-29" 80 "Shadow AVPs" 1 10 1.24 0.04 1.28
"randsimple-80-7" 80 "Shadow AVPs" 1 12 1.15 0.04 1.18
"randsimple-80-3" 80 "Shadow AVPs" 1 11 1.13 0.03 1.16
"randsimple-80-25" 80 "Shadow AVPs" 1 11 1.16 0.04 1.2
"randsimple-80-13" 80 "Shadow AVPs" 1 12 1.06 0.03 1.09
"randsimple-80-24" 80 "Shadow AVPs" 1 11 1.08 0.03 1.12
"randsimple-80-19" 80 "Shadow AVPs" 1 12 1.24 0.04 1.28
"randsimple-80-14" 80 "Shadow AVPs" 1 12 1.16 0.04 1.2
"randsimple-80-17" 80 "Shadow AVPs" 1 12 1.26 0.05 1.31
"randsimple-80-14" 80 "Single Vertex" 11 12 0.72 0.26 0.98
"randsimple-80-24" 80 "Single Vertex" 7 11 0.72 0.14 0.86
"randsimple-80-28" 80 "Single Vertex" 13 11 0.72 0.26 0.99
"randsimple-80-12" 80 "Single Vertex" 9 13 0.74 0.19 0.94
"randsimple-80-6" 80 "Single Vertex" 11 11 0.74 0.23 0.98
"randsimple-80-9" 80 "Single Vertex" 12 13 0.72 0.34 1.06
"randsimple-80-16" 80 "Single Vertex" 11 12 0.72 0.28 1.01
"randsimple-80-11" 80 "Single Vertex" 9 13 0.72 0.22 0.94
"randsimple-80-18" 80 "Single Vertex" 10 10 0.73 0.27 1
"randsimple-80-22" 80 "Single Vertex" 11 10 0.72 0.21 0.93
"randsimple-80-23" 80 "Single Vertex" 14 12 0.74 0.33 1.07
"randsimple-80-13" 80 "Single Vertex" 9 12 0.74 0.21 0.95
"randsimple-80-2" 80 "Single Vertex" 11 12 0.72 0.34 1.06
"randsimple-80-4" 80 "Single Vertex" 7 12 0.73 0.18 0.91
"randsimple-80-8" 80 "Single Vertex" 9 9 0.72 0.15 0.87
"randsimple-80-25" 80 "Single Vertex" 8 11 0.74 0.19 0.93
"randsimple-80-21" 80 "Single Vertex" 17 12 0.72 0.35 1.07
"randsimple-80-19" 80 "Single Vertex" 11 12 0.74 0.22 0.96
"randsimple-80-26" 80 "Single Vertex" 10 11 0.74 0.3 1.04
"randsimple-80-15" 80 "Single Vertex" 8 11 0.74 0.18 0.92
"randsimple-80-30" 80 "Single Vertex" 12 13 0.74 0.33 1.06
"randsimple-80-7" 80 "Single Vertex" 12 12 0.74 0.24 0.99
"randsimple-80-3" 80 "Single Vertex" 14 11 0.71 0.3 1.01
"randsimple-80-5" 80 "Single Vertex" 9 12 0.73 0.16 0.89
"randsimple-80-17" 80 "Single Vertex" 9 12 0.74 0.26 1
"randsimple-80-1" 80 "Single Vertex" 8 14 0.72 0.17 0.89
"randsimple-80-27" 80 "Single Vertex" 10 13 0.75 0.29 1.04
"randsimple-80-29" 80 "Single Vertex" 10 10 0.72 0.23 0.96
"randsimple-80-10" 80 "Single Vertex" 12 12 0.74 0.33 1.07
"randsimple-80-20" 80 "Single Vertex" 11 10 0.74 0.2 0.94
"randsimple-100-30" 100 "All Vertices" 3 18 1.21 0.2 1.41
"randsimple-100-29" 100 "All Vertices" 6 14 1.18 0.34 1.52
"randsimple-100-21" 100 "All Vertices" 3 14 1.18 0.14 1.31
"randsimple-100-28" 100 "All Vertices" 5 17 1.17 0.29 1.46
"randsimple-100-4" 100 "All Vertices" 3 14 1.18 0.19 1.38
"randsimple-100-2" 100 "All Vertices" 3 16 1.17 0.16 1.34
"randsimple-100-1" 100 "All Vertices" 3 13 1.16 0.14 1.3
"randsimple-100-9" 100 "All Vertices" 2 13 1.2 0.12 1.31
"randsimple-100-17" 100 "All Vertices" 6 14 1.22 0.3 1.51
"randsimple-100-26" 100 "All Vertices" 3 13 1.2 0.15 1.34
"randsimple-100-24" 100 "All Vertices" 2 14 1.18 0.11 1.29
"randsimple-100-27" 100 "All Vertices" 3 16 1.21 0.17 1.38
"randsimple-100-25" 100 "All Vertices" 4 15 1.19 0.26 1.44
"randsimple-100-14" 100 "All Vertices" 5 15 1.18 0.31 1.49
"randsimple-100-20" 100 "All Vertices" 2 15 1.2 0.1 1.3
"randsimple-100-6" 100 "All Vertices" 2 12 1.18 0.1 1.28
"randsimple-100-3" 100 "All Vertices" 1 14 1.17 0.05 1.22
"randsimple-100-7" 100 "All Vertices" 3 16 1.21 0.2 1.4
"randsimple-100-8" 100 "All Vertices" 4 15 1.2 0.23 1.43
"randsimple-100-18" 100 "All Vertices" 6 13 1.2 0.28 1.48
"randsimple-100-12" 100 "All Vertices" 3 14 1.17 0.16 1.33
"randsimple-100-16" 100 "All Vertices" 3 15 1.2 0.14 1.34
"randsimple-100-15" 100 "All Vertices" 4 14 1.25 0.22 1.46
"randsimple-100-22" 100 "All Vertices" 3 15 1.19 0.15 1.34
"randsimple-100-13" 100 "All Vertices" 4 15 1.16 0.2 1.36
"randsimple-100-23" 100 "All Vertices" 4 14 1.18 0.2 1.38
"randsimple-100-10" 100 "All Vertices" 4 15 1.22 0.26 1.48
"randsimple-100-5" 100 "All Vertices" 2 15 1.2 0.12 1.32
"randsimple-100-19" 100 "All Vertices" 3 16 1.2 0.16 1.35
"randsimple-100-11" 100 "All Vertices" 5 14 1.25 0.31 1.56
"randsimple-100-25" 100 "Convex Vertices" 4 15 1.18 0.23 1.41
"randsimple-100-1" 100 "Convex Vertices" 3 13 1.16 0.12 1.28
"randsimple-100-19" 100 "Convex Vertices" 8 16 1.19 0.46 1.65
"randsimple-100-11" 100 "Convex Vertices" 5 14 1.24 0.3 1.55
"randsimple-100-13" 100 "Convex Vertices" 5 15 1.16 0.24 1.39
"randsimple-100-12" 100 "Convex Vertices" 3 14 1.17 0.16 1.33
"randsimple-100-15" 100 "Convex Vertices" 2 14 1.24 0.1 1.34
"randsimple-100-23" 100 "Convex Vertices" 5 14 1.18 0.24 1.42
"randsimple-100-21" 100 "Convex Vertices" 3 14 1.17 0.14 1.3
"randsimple-100-3" 100 "Convex Vertices" 2 14 1.16 0.1 1.26
"randsimple-100-20" 100 "Convex Vertices" 5 15 1.19 0.23 1.42
"randsimple-100-9" 100 "Convex Vertices" 4 13 1.17 0.23 1.4
"randsimple-100-27" 100 "Convex Vertices" 4 16 1.2 0.22 1.42
"randsimple-100-26" 100 "Convex Vertices" 4 13 1.18 0.2 1.38
"randsimple-100-6" 100 "Convex Vertices" 2 12 1.18 0.09 1.27
"randsimple-100-16" 100 "Convex Vertices" 3 15 1.18 0.16 1.33
"randsimple-100-18" 100 "Convex Vertices" 7 13 1.2 0.31 1.5
"randsimple-100-30" 100 "Convex Vertices" 4 18 1.21 0.26 1.47
"randsimple-100-14" 100 "Convex Vertices" 5 15 1.17 0.28 1.45
"randsimple-100-29" 100 "Convex Vertices" 3 14 1.18 0.16 1.33
"randsimple-100-5" 100 "Convex Vertices" 2 15 1.2 0.11 1.31
"randsimple-100-17" 100 "Convex Vertices" 11 14 1.19 0.45 1.64
"randsimple-100-10" 100 "Convex Vertices" 8 15 1.2 0.5 1.7
"randsimple-100-8" 100 "Convex Vertices" 4 15 1.19 0.24 1.43
"randsimple-100-7" 100 "Convex Vertices" 6 16 1.2 0.36 1.56
"randsimple-100-4" 100 "Convex Vertices" 4 14 1.18 0.26 1.43
"randsimple-100-2" 100 "Convex Vertices" 2 16 1.17 0.11 1.28
"randsimple-100-22" 100 "Convex Vertices" 3 15 1.18 0.16 1.34
"randsimple-100-24" 100 "Convex Vertices" 3 14 1.17 0.17 1.34
"randsimple-100-28" 100 "Convex Vertices" 5 17 1.18 0.29 1.47
"randsimple-100-23" 100 "Shadow AVPs" 1 14 1.78 0.06 1.83
"randsimple-100-16" 100 "Shadow AVPs" 1 15 1.79 0.06 1.85
"randsimple-100-19" 100 "Shadow AVPs" 1 16 1.85 0.06 1.91
"randsimple-100-10" 100 "Shadow AVPs" 1 15 1.91 0.07 1.98
"randsimple-100-12" 100 "Shadow AVPs" 1 14 1.72 0.05 1.77
"randsimple-100-4" 100 "Shadow AVPs" 1 14 1.9 0.07 1.97
"randsimple-100-30" 100 "Shadow AVPs" 1 18 1.86 0.07 1.93
"randsimple-100-26" 100 "Shadow AVPs" 1 13 2.04 0.05 2.09
"randsimple-100-1" 100 "Shadow AVPs" 1 13 1.63 0.04 1.67
"randsimple-100-9" 100 "Shadow AVPs" 1 13 1.81 0.06 1.87
"randsimple-100-18" 100 "Shadow AVPs" 1 13 1.7 0.04 1.74
"randsimple-100-15" 100 "Shadow AVPs" 1 14 1.9 0.05 1.96
"randsimple-100-27" 100 "Shadow AVPs" 1 16 1.78 0.06 1.84
"randsimple-100-7" 100 "Shadow AVPs" 1 16 1.84 0.06 1.9
"randsimple-100-22" 100 "Shadow AVPs" 1 15 1.62 0.06 1.67
"randsimple-100-20" 100 "Shadow AVPs" 1 15 1.88 0.05 1.93
"randsimple-100-3" 100 "Shadow AVPs" 1 14 1.69 0.05 1.74
"randsimple-100-29" 100 "Shadow AVPs" 1 14 1.76 0.06 1.82
"randsimple-100-8" 100 "Shadow AVPs" 1 15 1.73 0.06 1.79
"randsimple-100-21" 100 "Shadow AVPs" 1 14 1.68 0.05 1.73
"randsimple-100-2" 100 "Shadow AVPs" 1 16 1.66 0.06 1.72
"randsimple-100-14" 100 "Shadow AVPs" 1 15 1.7 0.05 1.75
"randsimple-100-17" 100 "Shadow AVPs" 1 14 1.73 0.06 1.79
"randsimple-100-24" 100 "Shadow AVPs" 1 14 1.78 0.06 1.84
"randsimple-100-25" 100 "Shadow AVPs" 1 15 1.78 0.06 1.84
"randsimple-100-11" 100 "Shadow AVPs" 1 14 2.16 0.07 2.24
"randsimple-100-6" 100 "Shadow AVPs" 1 12 1.84 0.05 1.88
"randsimple-100-5" 100 "Shadow AVPs" 1 15 1.76 0.06 1.82
"randsimple-100-13" 100 "Shadow AVPs" 1 15 1.73 0.06 1.79
"randsimple-100-28" 100 "Shadow AVPs" 1 17 1.62 0.07 1.69
"randsimple-100-11" 100 "Single Vertex" 11 14 1.21 0.47 1.68
"randsimple-100-20" 100 "Single Vertex" 11 15 1.18 0.36 1.55
"randsimple-100-14" 100 "Single Vertex" 18 15 1.16 0.61 1.78
"randsimple-100-10" 100 "Single Vertex" 12 15 1.2 0.44 1.64
"randsimple-100-7" 100 "Single Vertex" 13 16 1.19 0.56 1.75
"randsimple-100-18" 100 "Single Vertex" 11 13 1.19 0.28 1.47
"randsimple-100-13" 100 "Single Vertex" 9 15 1.14 0.28 1.42
"randsimple-100-9" 100 "Single Vertex" 16 13 1.16 0.67 1.82
"randsimple-100-5" 100 "Single Vertex" 11 15 1.18 0.36 1.54
"randsimple-100-2" 100 "Single Vertex" 10 16 1.15 0.39 1.54
"randsimple-100-21" 100 "Single Vertex" 8 14 1.16 0.23 1.39
"randsimple-100-4" 100 "Single Vertex" 10 14 1.16 0.29 1.45
"randsimple-100-28" 100 "Single Vertex" 16 17 1.16 0.71 1.87
"randsimple-100-15" 100 "Single Vertex" 11 14 1.26 0.39 1.66
"randsimple-100-26" 100 "Single Vertex" 11 13 1.17 0.36 1.53
"randsimple-100-16" 100 "Single Vertex" 11 15 1.16 0.38 1.54
"randsimple-100-17" 100 "Single Vertex" 12 14 1.18 0.35 1.53
"randsimple-100-22" 100 "Single Vertex" 11 15 1.18 0.33 1.51
"randsimple-100-1" 100 "Single Vertex" 10 13 1.15 0.3 1.45
"randsimple-100-23" 100 "Single Vertex" 14 14 1.16 0.46 1.62
"randsimple-100-6" 100 "Single Vertex" 8 12 1.16 0.23 1.39
"randsimple-100-29" 100 "Single Vertex" 12 14 1.16 0.47 1.64
"randsimple-100-12" 100 "Single Vertex" 12 14 1.17 0.37 1.54
"randsimple-100-27" 100 "Single Vertex" 8 16 1.2 0.34 1.54
"randsimple-100-25" 100 "Single Vertex" 9 15 1.17 0.3 1.47
"randsimple-100-19" 100 "Single Vertex" 10 16 1.18 0.36 1.53
"randsimple-100-24" 100 "Single Vertex" 11 14 1.16 0.37 1.53
"randsimple-100-30" 100 "Single Vertex" 11 18 1.2 0.46 1.66
"randsimple-100-8" 100 "Single Vertex" 15 15 1.18 0.44 1.62
"randsimple-100-3" 100 "Single Vertex" 11 14 1.16 0.36 1.52
"randsimple-200-12" 200 "All Vertices" 7 28 4.55 1.1 5.65
"randsimple-200-11" 200 "All Vertices" 4 28 4.6 0.54 5.14
"randsimple-200-23" 200 "All Vertices" 4 29 4.49 0.64 5.13
"randsimple-200-9" 200 "All Vertices" 4 29 4.58 0.58 5.16
"randsimple-200-15" 200 "All Vertices" 4 32 4.5 0.7 5.2
"randsimple-200-2" 200 "All Vertices" 4 31 4.52 0.68 5.2
"randsimple-200-13" 200 "All Vertices" 4 26 4.57 0.65 5.22
"randsimple-200-29" 200 "All Vertices" 3 28 4.59 0.49 5.08
"randsimple-200-27" 200 "All Vertices" 5 28 4.53 0.69 5.22
"randsimple-200-7" 200 "All Vertices" 5 28 4.51 0.74 5.26
"randsimple-200-5" 200 "All Vertices" 3 30 4.53 0.52 5.05
"randsimple-200-19" 200 "All Vertices" 4 27 4.58 0.69 5.27
"randsimple-200-1" 200 "All Vertices" 5 31 4.59 0.89 5.48
"randsimple-200-6" 200 "All Vertices" 4 29 4.61 0.64 5.25
"randsimple-200-21" 200 "All Vertices" 5 26 4.52 0.65 5.16
"randsimple-200-24" 200 "All Vertices" 4 24 4.63 0.59 5.22
"randsimple-200-14" 200 "All Vertices" 8 28 4.58 1.31 5.89
"randsimple-200-28" 200 "All Vertices" 4 31 4.49 0.64 5.13
"randsimple-200-10" 200 "All Vertices" 4 27 4.54 0.56 5.09
"randsimple-200-8" 200 "All Vertices" 5 26 4.65 0.88 5.52
"randsimple-200-30" 200 "All Vertices" 3 27 4.52 0.49 5.01
"randsimple-200-3" 200 "All Vertices" 6 26 4.6 0.86 5.46
"randsimple-200-26" 200 "All Vertices" 4 28 4.54 0.72 5.26
"randsimple-200-16" 200 "All Vertices" 6 29 4.64 1.06 5.7
"randsimple-200-4" 200 "All Vertices" 4 31 4.65 0.64 5.29
"randsimple-200-18" 200 "All Vertices" 3 25 4.61 0.45 5.06
"randsimple-200-20" 200 "All Vertices" 2 26 4.6 0.28 4.88
"randsimple-200-22" 200 "All Vertices" 4 29 4.58 0.58 5.16
"randsimple-200-17" 200 "All Vertices" 4 29 4.54 0.62 5.15
"randsimple-200-25" 200 "All Vertices" 5 29 4.6 0.8 5.4
"randsimple-200-11" 200 "Convex Vertices" 4 28 4.55 0.54 5.1
"randsimple-200-24" 200 "Convex Vertices" 3 24 4.58 0.42 5
"randsimple-200-21" 200 "Convex Vertices" 4 26 4.47 0.5 4.97
"randsimple-200-10" 200 "Convex Vertices" 5 27 4.48 0.7 5.18
"randsimple-200-14" 200 "Convex Vertices" 6 28 4.53 0.98 5.5
"randsimple-200-7" 200 "Convex Vertices" 8 28 4.48 1.22 5.7
"randsimple-200-20" 200 "Convex Vertices" 4 26 4.58 0.55 5.13
"randsimple-200-23" 200 "Convex Vertices" 4 29 4.46 0.64 5.1
"randsimple-200-26" 200 "Convex Vertices" 7 28 4.48 1.2 5.68
"randsimple-200-13" 200 "Convex Vertices" 4 26 4.52 0.58 5.1
"randsimple-200-1" 200 "Convex Vertices" 4 31 4.52 0.68 5.2
"randsimple-200-17" 200 "Convex Vertices" 6 29 4.46 0.93 5.4
"randsimple-200-9" 200 "Convex Vertices" 6 29 4.54 0.89 5.44
"randsimple-200-12" 200 "Convex Vertices" 5 28 4.52 0.74 5.26
"randsimple-200-29" 200 "Convex Vertices" 5 28 4.54 0.83 5.37
"randsimple-200-8" 200 "Convex Vertices" 5 26 4.6 0.84 5.45
"randsimple-200-25" 200 "Convex Vertices" 7 29 4.53 1.04 5.57
"randsimple-200-16" 200 "Convex Vertices" 7 29 4.52 1.2 5.73
"randsimple-200-4" 200 "Convex Vertices" 4 31 4.62 0.6 5.22
"randsimple-200-30" 200 "Convex Vertices" 3 27 4.53 0.5 5.03
"randsimple-200-27" 200 "Convex Vertices" 6 28 4.48 0.87 5.35
"randsimple-200-28" 200 "Convex Vertices" 5 31 4.5 0.78 5.28
"randsimple-200-22" 200 "Convex Vertices" 4 29 4.53 0.55 5.08
"randsimple-200-19" 200 "Convex Vertices" 4 27 4.53 0.67 5.2
"randsimple-200-18" 200 "Convex Vertices" 3 25 4.66 0.42 5.08
"randsimple-200-2" 200 "Convex Vertices" 4 31 4.49 0.68 5.16
"randsimple-200-6" 200 "Convex Vertices" 4 29 4.55 0.67 5.22
"randsimple-200-15" 200 "Convex Vertices" 6 32 4.46 0.96 5.42
"randsimple-200-3" 200 "Convex Vertices" 4 26 4.56 0.57 5.13
"randsimple-200-5" 200 "Convex Vertices" 3 30 4.49 0.52 5.01
"randsimple-200-19" 200 "Shadow AVPs" 1 27 6.4 0.18 6.58
"randsimple-200-26" 200 "Shadow AVPs" 1 28 6.18 0.2 6.37
"randsimple-200-14" 200 "Shadow AVPs" 1 28 6.42 0.19 6.61
"randsimple-200-17" 200 "Shadow AVPs" 1 29 6.04 0.17 6.2
"randsimple-200-20" 200 "Shadow AVPs" 1 26 6.11 0.14 6.25
"randsimple-200-8" 200 "Shadow AVPs" 1 26 6.9 0.18 7.08
"randsimple-200-9" 200 "Shadow AVPs" 1 29 5.99 0.16 6.15
"randsimple-200-7" 200 "Shadow AVPs" 1 28 5.77 0.16 5.93
"randsimple-200-12" 200 "Shadow AVPs" 1 28 5.94 0.16 6.1
"randsimple-200-13" 200 "Shadow AVPs" 1 26 6.48 0.16 6.64
"randsimple-200-6" 200 "Shadow AVPs" 1 29 6.26 0.18 6.44
"randsimple-200-15" 200 "Shadow AVPs" 1 32 5.72 0.18 5.9
"randsimple-200-4" 200 "Shadow AVPs" 1 31 6.13 0.17 6.3
"randsimple-200-27" 200 "Shadow AVPs" 1 28 5.76 0.15 5.92
"randsimple-200-16" 200 "Shadow AVPs" 1 29 6.23 0.18 6.42
"randsimple-200-18" 200 "Shadow AVPs" 1 25 6.12 0.15 6.27
"randsimple-200-11" 200 "Shadow AVPs" 1 28 5.69 0.14 5.83
"randsimple-200-5" 200 "Shadow AVPs" 1 30 5.92 0.18 6.09
"randsimple-200-2" 200 "Shadow AVPs" 1 31 6 0.19 6.18
"randsimple-200-23" 200 "Shadow AVPs" 1 29 5.85 0.17 6.02
"randsimple-200-28" 200 "Shadow AVPs" 1 31 5.72 0.17 5.89
"randsimple-200-25" 200 "Shadow AVPs" 1 29 6.18 0.19 6.37
"randsimple-200-30" 200 "Shadow AVPs" 1 27 6.63 0.18 6.8
"randsimple-200-21" 200 "Shadow AVPs" 1 26 6.15 0.14 6.29
"randsimple-200-3" 200 "Shadow AVPs" 1 26 5.97 0.14 6.11
"randsimple-200-1" 200 "Shadow AVPs" 1 31 6.17 0.18 6.35
"randsimple-200-22" 200 "Shadow AVPs" 1 29 5.8 0.16 5.95
"randsimple-200-29" 200 "Shadow AVPs" 1 28 6 0.18 6.18
"randsimple-200-10" 200 "Shadow AVPs" 1 27 5.67 0.16 5.83
"randsimple-200-24" 200 "Shadow AVPs" 1 24 6.61 0.16 6.77
"randsimple-200-13" 200 "Single Vertex" 14 26 4.49 1.46 5.95
"randsimple-200-11" 200 "Single Vertex" 13 28 4.53 1.03 5.56
"randsimple-200-16" 200 "Single Vertex" 15 29 4.5 1.48 5.98
"randsimple-200-2" 200 "Single Vertex" 13 31 4.44 1.53 5.98
"randsimple-200-5" 200 "Single Vertex" 16 30 4.45 1.64 6.09
"randsimple-200-7" 200 "Single Vertex" 17 28 4.47 1.38 5.85
"randsimple-200-14" 200 "Single Vertex" 17 28 4.49 1.72 6.2
"randsimple-200-17" 200 "Single Vertex" 14 29 4.44 1.29 5.73
"randsimple-200-23" 200 "Single Vertex" 15 29 4.42 1.56 5.98
"randsimple-200-21" 200 "Single Vertex" 15 26 4.44 1.21 5.65
"randsimple-200-24" 200 "Single Vertex" 13 24 4.54 1.04 5.59
"randsimple-200-19" 200 "Single Vertex" 12 27 4.52 1.14 5.67
"randsimple-200-4" 200 "Single Vertex" 21 31 4.59 1.95 6.54
"randsimple-200-18" 200 "Single Vertex" 18 25 4.52 1.1 5.61
"randsimple-200-15" 200 "Single Vertex" 19 32 4.43 1.68 6.11
"randsimple-200-1" 200 "Single Vertex" 20 31 4.49 2.13 6.62
"randsimple-200-30" 200 "Single Vertex" 15 27 4.44 1.23 5.67
"randsimple-200-22" 200 "Single Vertex" 13 29 4.49 1.12 5.62
"randsimple-200-6" 200 "Single Vertex" 23 29 4.52 2.12 6.65
"randsimple-200-28" 200 "Single Vertex" 14 31 4.48 1.34 5.83
"randsimple-200-26" 200 "Single Vertex" 23 28 4.46 2.52 6.98
"randsimple-200-25" 200 "Single Vertex" 16 29 4.53 1.72 6.25
"randsimple-200-12" 200 "Single Vertex" 15 28 4.45 1.5 5.95
"randsimple-200-27" 200 "Single Vertex" 24 28 4.47 1.97 6.44
"randsimple-200-8" 200 "Single Vertex" 15 26 4.6 1.53 6.13
"randsimple-200-9" 200 "Single Vertex" 12 29 4.53 1.3 5.82
"randsimple-200-10" 200 "Single Vertex" 15 27 4.45 1.16 5.61
"randsimple-200-20" 200 "Single Vertex" 15 26 4.57 0.97 5.54
"randsimple-200-3" 200 "Single Vertex" 22 26 4.48 1.81 6.29
